movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,2320033
霸王别姬,2,9.6,1722730
阿甘正传,3,9.5,1745486
这个杀手不太冷,4,9.4,1924049
泰坦尼克号,5,9.4,1707648
美丽人生,6,9.5,1076192
千与千寻,7,9.4,1823983
辛德勒的名单,8,9.5,891237
盗梦空间,9,9.3,1689316
忠犬八公的故事,10,9.4,1159351
星际穿越,11,9.3,1362054
楚门的世界,12,9.3,1275825
海上钢琴师,13,9.3,1372671
三傻大闹宝莱坞,14,9.2,1541917
机器人总动员,15,9.3,1085656
放牛班的春天,16,9.3,1068664
大话西游之大圣娶亲,17,9.2,1246133
疯狂动物城,18,9.2,1505479
无间道,19,9.2,1033238
熔炉,20,9.3,757208
教父,21,9.3,757640
当幸福来敲门,22,9.1,1238596
龙猫,23,9.2,1033138
怦然心动,24,9.1,1461499
控方证人,25,9.6,358900
